id_area,nombre_area
2483,Ciencia de datos
6142,Minería
4215,Bases de datos
4457,Programación
1501,Estadística
6107,Probabilidad
5316,Algebra lineal
6542,Cálculo
8157,Lenguajes de programación
3275,Generación de material de apoyo con los sistemas algebraicos computacionales como: wolfram mathematica
7655,Matlab
8213,Maxima
7430,Octave
3247,Maple
2992,R
9351,Lógica matemática
1755,Análisis numérico
4944,Tecnología educativa
9875,Enseñanza de las matemáticas
6578,Teóricos : matemáticas discretas
4142,Teoría de la computación
2210,Teoría de grupos
6748,Teoría de grafos
1863,Criptografía
6864,Prácticos-técnicos : bases de datos relaciones
2621,Bases de datos no relaciones
5487,Big data
9355,Arquitectura de datos
2862,Redes neuronales
1772,Orquestación de datos
4827,Arquitecturas
1591,Teoría de dwh
3402,Seguridad computacional
3780,Explotación de binarios
5028,Sistemas operativos
5049,Ingeniería de software
1473,Álgebra superior
8005,Álgebra lineal
3160,Cálculo i
1036,Cáculo ii
9050,Cálculo iii
5730,Geometría analítica
9715,Métodos numéricos
6790,Informática
3906,Sistemas
5026,Tecnologías móviles
3095,Álgebra
8167,Geometría
2255,Base de datos
6195,Administración de base de datos
6369,Minería de datos e inteligencia de negocio
5786,Programación i
4706,Programación ii
8698,Programación orientada a objetos
9709,Estructura de datos
1865,Programación lógica
5976,Funcional
9399,Copiladores
9474,Programación con swift
9200,Inteligencia artificial
2673,Ecuaciones diferenciales
4582,Análisis hipercomplejo
6668,Teoría de operadores
9791,Desarrollo web
8383,Topología algebraica
4812,Geometría algebraica
2512,Probabilidad/estadística/machine learning/finanzas
8946,Tecnologías de la información
7669,-programación competitiva
4954,-sistemas fotovoltáicos
5499,-red nacional de videoconferencias
4676,-redes de datos
6728,-gobierno de ti
8442,-videoconferencia educativa
8996,-difusión de sistemas operativos libres
6898,-normativa de tic
2135,-datacenter
2667,-riu
7287,Ria
5714,-ciberseguridad
4773,- organización
2221,Arquitectura de computadoras
3353,- redes de cómputo
8232,- investigación
4406,Modelos
1142,Solución de problemas
9907,Mi área de interés es geometría. principalmente geometría algebraica real
5355,Geometría diferencial de curvas
6769,Superficies. también estoy interesado en aplicaciones de estas áreas en optimización lineal
7785,Semidefinida
1363,-enseñanza de inglés
7822,-uso de t.i.c. en aula
5826,-uso de materiales audiovisuales para la clase de inglés
1587,Topología geométrica
7651,Geometría hiperbólica
3848,Matemática educativa
5881,G-variedades
2202,Procesos estocásticos
8549,Simulación
7829,Enseñanza
9327,Adquisición de lenguas. lingüística
7958,Traducción. tecnologías para la educación. docencia universitaria
2406,Razonamiento cualitativo
5185,Ontologías
4880,Sistemas basados en conocimiento
7313,Sistemas expertos
3643,Web semántica
2178,Diseño
9921,Desarrollo de software en aplicaciones para computadoras
3459,Aplicaciones web
7357,Calculo iv (vectorial)
9903,Elementos de análisis para las finanzas
7743,Métodos numéricos i (sistemas lineales)
4357,Métodos numéricos ii (sistemas no lineales)
4426,Análisis
1932,Física matemática
6907,Matemáticas discretas
7087,Topología diferencial
7540,Ciencias de la computación
3855,Preferentemente el área de sistemas
3664,Estructuras de datos
9676,Manejo de bases de datos
2241,Arquitectura
1610,Bigdata
4098,Cloud
6170,Etl
8216,Desarrollo móvil
2878,Gobernanza de datos
5140,Simulación estocástica
6504,Optimización no lineal
3967,Teoría de gráficas
3377,Estadística matemática
9440,Mineria de datos
5007,Historia política
8458,Social
7170,Cultural
6843,Tecnológica
3319,Derechos humanos
3980,Procesal
2857,Penal
1688,Internacional público
5369,Computación
6661,Business and predictive analytics
1862,Data science
8015,Artificial intelligence
3209,Cloud computing
7214,Finanzas matemáticas
6396,Solución algorítmica de problemas
2369,Mis intereses de investigación es la matemática discreta
8359,Concretamente la teoría cromática de gráficas
4584,Geometría combinatoria
7091,Geometría finita
2548,Análisis complejo
8536,Estadística i
2915,Ingeniería ambiental
4854,Química
4338,Alto conocimiento del idioma inglés
3468,La traducción de español a inglés
6504,Conocimientos de programación
1835,Acceso a paqueterías en línea para la educación
1085,Aptitudes lingüísticas para la mejor adquisición de una l2
7698,Su aprendizaje
8230,1. algebra lineal numérica
8890,2. herramientas analíticas en los negocios
4009,3. teoría de grafos
7951,4. estadística aplicada
2479,5. optimización no lineal en la solución de problemas a gran escala
2256,6. matemáticas discretas
9185,7. geometría
